Timestamp,Open,High,Low,Close
2022-01-03,0.09,0.09,0.09,0.09,
2022-01-04,0.08,0.08,0.08,0.08,
2022-01-05,0.09,0.09,0.09,0.09,
2022-01-06,0.1,0.1,0.1,0.1,
2022-01-07,0.1,0.1,0.1,0.1,
2022-01-10,0.13,0.13,0.13,0.13,
2022-01-11,0.12,0.12,0.12,0.12,
2022-01-12,0.12,0.12,0.12,0.12,
2022-01-13,0.12,0.12,0.12,0.12,
2022-01-14,0.13,0.13,0.13,0.13,
2022-01-18,0.17,0.17,0.17,0.17,
2022-01-19,0.17,0.17,0.17,0.17,
2022-01-20,0.18,0.18,0.18,0.18,
2022-01-21,0.17,0.17,0.17,0.17,
2022-01-24,0.2,0.2,0.2,0.2,
2022-01-25,0.2,0.2,0.2,0.2,
2022-01-26,0.19,0.19,0.19,0.19,
2022-01-27,0.2,0.2,0.2,0.2,
2022-01-28,0.19,0.19,0.19,0.19,
2022-01-31,0.24,0.24,0.24,0.24,
2022-02-01,0.2,0.2,0.2,0.2,
2022-02-02,0.2,0.2,0.2,0.2,
2022-02-03,0.21,0.21,0.21,0.21,
2022-02-04,0.23,0.23,0.23,0.23,
2022-02-07,0.28,0.28,0.28,0.28,
2022-02-08,0.27,0.27,0.27,0.27,
2022-02-09,0.27,0.27,0.27,0.27,
2022-02-10,0.41,0.41,0.41,0.41,
2022-02-11,0.37,0.37,0.37,0.37,
2022-02-14,0.45,0.45,0.45,0.45,
2022-02-15,0.41,0.41,0.41,0.41,
2022-02-16,0.39,0.39,0.39,0.39,
2022-02-17,0.37,0.37,0.37,0.37,
2022-02-18,0.35,0.35,0.35,0.35,
2022-02-22,0.39,0.39,0.39,0.39,
2022-02-23,0.36,0.36,0.36,0.36,
2022-02-24,0.33,0.33,0.33,0.33,
2022-02-25,0.33,0.33,0.33,0.33,
2022-02-28,0.37,0.37,0.37,0.37,
2022-03-01,0.32,0.32,0.32,0.32,
2022-03-02,0.33,0.33,0.33,0.33,
2022-03-03,0.37,0.37,0.37,0.37,
2022-03-04,0.33,0.33,0.33,0.33,
2022-03-07,0.38,0.38,0.38,0.38,
2022-03-08,0.36,0.36,0.36,0.36,
2022-03-09,0.38,0.38,0.38,0.38,
2022-03-10,0.38,0.38,0.38,0.38,
2022-03-11,0.39,0.39,0.39,0.39,
2022-03-14,0.45,0.45,0.45,0.45,
2022-03-15,0.46,0.46,0.46,0.46,
2022-03-16,0.43,0.43,0.43,0.43,
2022-03-17,0.4,0.4,0.4,0.4,
2022-03-18,0.41,0.41,0.41,0.41,
2022-03-21,0.55,0.55,0.55,0.55,
2022-03-22,0.51,0.51,0.51,0.51,
2022-03-23,0.5,0.5,0.5,0.5,
